model,layer,strength,prompt_idx,matching_answer,logprob_A,logprob_B,logit_diff_AB,logit_diff_matching
14B,25,-1.0,32,(B),-2.125,-12.125,10.0,-10.0
14B,25,-1.0,33,(B),-2.609375,-12.25,9.640625,-9.640625
14B,25,-1.0,34,(B),-11.625,-17.625,6.0,-6.0
14B,25,-1.0,35,(B),-0.000400543212890625,-8.375,8.37459945678711,-8.37459945678711
14B,25,-1.0,36,(A),-12.625,-9.625,-3.0,-3.0
14B,25,-1.0,37,(A),-13.6875,-11.3125,-2.375,-2.375
14B,25,-1.0,38,(B),-8.25,-11.875,3.625,-3.625
14B,25,-1.0,39,(A),-10.5,-17.5,7.0,7.0
14B,25,-1.0,40,(B),-0.07421875,-11.6875,11.61328125,-11.61328125
14B,25,-1.0,41,(B),-0.0002002716064453125,-17.0,16.999799728393555,-16.999799728393555
14B,25,-1.0,42,(A),-8.125,-9.125,1.0,1.0
14B,25,-1.0,43,(A),-2.1875,-0.4375,-1.75,-1.75
14B,25,-1.0,44,(A),-0.349609375,-6.84375,6.494140625,6.494140625
14B,25,-1.0,45,(B),-10.75,-19.0,8.25,-8.25
14B,25,-1.0,46,(A),-11.4375,-10.9375,-0.5,-0.5
14B,25,-1.0,47,(B),-5.25,-11.75,6.5,-6.5
14B,25,-1.0,48,(B),-0.37109375,-10.875,10.50390625,-10.50390625
14B,25,-1.0,49,(B),-4.90625,-12.3125,7.40625,-7.40625
14B,25,-1.0,50,(B),-4.15625,-10.25,6.09375,-6.09375
14B,25,-1.0,51,(A),-4.90625,-0.41015625,-4.49609375,-4.49609375
14B,25,-1.0,52,(B),-8.0,-14.125,6.125,-6.125
14B,25,-1.0,53,(A),-7.03125,-0.404296875,-6.626953125,-6.626953125
14B,25,-1.0,54,(B),-0.034423828125,-9.0625,9.028076171875,-9.028076171875
14B,25,-1.0,55,(A),-16.5,-24.25,7.75,7.75
14B,25,-1.0,56,(B),-11.625,-17.375,5.75,-5.75
14B,25,-1.0,57,(A),-1.1875,-0.439453125,-0.748046875,-0.748046875
14B,25,-1.0,58,(B),-4.53125,-4.15625,-0.375,0.375
14B,25,-1.0,59,(B),-6.03125,-16.875,10.84375,-10.84375
14B,25,-1.0,60,(A),-20.0,-21.875,1.875,1.875
14B,25,-1.0,61,(A),-12.875,-19.625,6.75,6.75
14B,25,-1.0,62,(A),-8.5,-4.78125,-3.71875,-3.71875
14B,25,-1.0,63,(B),-16.75,-21.875,5.125,-5.125
14B,25,-1.0,64,(B),-5.53125,-9.125,3.59375,-3.59375
14B,25,-1.0,65,(B),-0.5703125,-10.5625,9.9921875,-9.9921875
14B,25,-1.0,66,(A),-5.0625,-0.953125,-4.109375,-4.109375
14B,25,-1.0,67,(B),-0.01220703125,-7.625,7.61279296875,-7.61279296875
14B,25,-1.0,68,(A),-7.5,-0.00775146484375,-7.49224853515625,-7.49224853515625
14B,25,-1.0,69,(B),-0.08447265625,-11.5625,11.47802734375,-11.47802734375
14B,25,-1.0,70,(B),-1.5854835510253906e-05,-14.5,14.49998414516449,-14.49998414516449
14B,25,-1.0,71,(B),-0.0238037109375,-13.75,13.7261962890625,-13.7261962890625
14B,25,-1.0,72,(A),-5.5,-5.5,0.0,0.0
14B,25,-1.0,73,(A),-8.0,-5.25,-2.75,-2.75
14B,25,-1.0,74,(A),-6.90625,-0.0218505859375,-6.8843994140625,-6.8843994140625
14B,25,-1.0,75,(B),-3.59375,-7.34375,3.75,-3.75
14B,25,-1.0,76,(A),-3.25,-2.625,-0.625,-0.625
14B,25,-1.0,77,(B),-0.1318359375,-5.625,5.4931640625,-5.4931640625
14B,25,-1.0,78,(B),-3.6875,-9.4375,5.75,-5.75
14B,25,-1.0,79,(B),-0.00016498565673828125,-17.25,17.24983501434326,-17.24983501434326
14B,25,-1.0,80,(B),-18.375,-22.75,4.375,-4.375
14B,25,-1.0,81,(A),-5.125,-6.75,1.625,1.625
14B,25,-1.0,82,(A),-18.5,-18.375,-0.125,-0.125
14B,25,-1.0,83,(A),-8.3125,-0.08056640625,-8.23193359375,-8.23193359375
14B,25,-1.0,84,(A),-18.625,-23.0,4.375,4.375
14B,25,-1.0,85,(A),-12.5,-14.0,1.5,1.5
14B,25,-1.0,86,(B),-0.53125,-11.875,11.34375,-11.34375
14B,25,-1.0,87,(A),-5.75,-9.125,3.375,3.375
14B,25,-1.0,88,(A),-9.0,-10.25,1.25,1.25
14B,25,-1.0,89,(A),-9.125,-16.125,7.0,7.0
14B,25,-1.0,90,(B),-0.03173828125,-14.1875,14.15576171875,-14.15576171875
14B,25,-1.0,91,(B),-3.53125,-10.375,6.84375,-6.84375
14B,25,-1.0,92,(B),-0.0025482177734375,-14.625,14.622451782226562,-14.622451782226562
14B,25,-1.0,93,(A),-12.125,-8.625,-3.5,-3.5
14B,25,-1.0,94,(B),-0.66015625,-7.65625,6.99609375,-6.99609375
14B,25,-1.0,95,(A),-5.875,-7.5,1.625,1.625
14B,25,-1.0,96,(A),-13.625,-17.0,3.375,3.375
14B,25,-1.0,97,(A),-8.375,-0.0004215240478515625,-8.374578475952148,-8.374578475952148
14B,25,-1.0,98,(A),-5.78125,-0.044921875,-5.736328125,-5.736328125
14B,25,-1.0,99,(A),-16.0,-16.75,0.75,0.75
14B,25,0.0,0,(B),-0.04931640625,-3.421875,3.37255859375,-3.37255859375
14B,25,0.0,1,(A),-0.37890625,-5.75,5.37109375,5.37109375
14B,25,0.0,2,(B),-1.8125,-1.1875,-0.625,0.625
14B,25,0.0,3,(A),-0.0068359375,-12.0,11.9931640625,11.9931640625
14B,25,0.0,4,(A),-7.53125,-0.291015625,-7.240234375,-7.240234375
14B,25,0.0,5,(A),-11.5,-10.0,-1.5,-1.5
14B,25,0.0,6,(B),-19.25,-23.375,4.125,-4.125
14B,25,0.0,7,(B),-0.0230712890625,-7.78125,7.7581787109375,-7.7581787109375
14B,25,0.0,8,(A),-3.140625,-0.396484375,-2.744140625,-2.744140625
14B,25,0.0,9,(B),-1.9375,-9.1875,7.25,-7.25
14B,25,0.0,10,(B),-20.625,-20.375,-0.25,0.25
14B,25,0.0,11,(A),-0.00885009765625,-12.0,11.99114990234375,11.99114990234375
14B,25,0.0,12,(A),-13.75,-2.28125,-11.46875,-11.46875
14B,25,0.0,13,(A),-19.875,-23.0,3.125,3.125
14B,25,0.0,14,(B),-15.125,-19.625,4.5,-4.5
14B,25,0.0,15,(B),-13.125,-14.875,1.75,-1.75
14B,25,0.0,16,(A),-16.625,-17.5,0.875,0.875
14B,25,0.0,17,(A),-11.25,-3.78125,-7.46875,-7.46875
14B,25,0.0,18,(A),-8.25,-17.0,8.75,8.75
14B,25,0.0,19,(A),-9.125,-15.0,5.875,5.875
14B,25,0.0,20,(B),-1.640625,-0.265625,-1.375,1.375
14B,25,0.0,21,(B),-4.75,-0.240234375,-4.509765625,4.509765625
14B,25,0.0,22,(A),-0.037841796875,-7.15625,7.118408203125,7.118408203125
14B,25,0.0,23,(B),-4.625,-3.984375,-0.640625,0.640625
14B,25,0.0,24,(A),-0.03955078125,-10.6875,10.64794921875,10.64794921875
14B,25,0.0,25,(B),-13.0625,-0.0498046875,-13.0126953125,13.0126953125
14B,25,0.0,26,(A),-8.75,-12.25,3.5,3.5
14B,25,0.0,27,(A),-9.3125,-7.4375,-1.875,-1.875
14B,25,0.0,28,(A),-13.875,-19.375,5.5,5.5
14B,25,0.0,29,(A),-19.25,-21.75,2.5,2.5
14B,25,0.0,30,(B),-12.625,-9.875,-2.75,2.75
14B,25,0.0,31,(B),-13.5,-10.5,-3.0,3.0
14B,25,0.0,32,(B),-5.25,-8.375,3.125,-3.125
14B,25,0.0,33,(B),-8.75,-11.125,2.375,-2.375
14B,25,0.0,34,(B),-17.125,-15.375,-1.75,1.75
14B,25,0.0,35,(B),-8.75,-0.00022602081298828125,-8.749773979187012,8.749773979187012
14B,25,0.0,36,(A),-14.1875,-11.8125,-2.375,-2.375
14B,25,0.0,37,(A),-17.875,-18.125,0.25,0.25
14B,25,0.0,38,(B),-13.5,-10.625,-2.875,2.875
14B,25,0.0,39,(A),-13.0,-21.375,8.375,8.375
14B,25,0.0,40,(B),-0.462890625,-8.0625,7.599609375,-7.599609375
14B,25,0.0,41,(B),-0.000743865966796875,-14.75,14.749256134033203,-14.749256134033203
14B,25,0.0,42,(A),-7.25,-16.625,9.375,9.375
14B,25,0.0,43,(A),-0.1728515625,-4.5625,4.3896484375,4.3896484375
14B,25,0.0,44,(A),-0.126953125,-13.875,13.748046875,13.748046875
14B,25,0.0,45,(B),-15.75,-19.375,3.625,-3.625
14B,25,0.0,46,(A),-13.625,-14.625,1.0,1.0
14B,25,0.0,47,(B),-10.25,-9.0,-1.25,1.25
14B,25,0.0,48,(B),-2.78125,-10.25,7.46875,-7.46875
14B,25,0.0,49,(B),-10.5,-13.625,3.125,-3.125
14B,25,0.0,50,(B),-10.375,-4.25,-6.125,6.125
14B,25,0.0,51,(A),-5.09375,-1.34375,-3.75,-3.75
14B,25,0.0,52,(B),-13.375,-10.75,-2.625,2.625
14B,25,0.0,53,(A),-7.0,-2.359375,-4.640625,-4.640625
14B,25,0.0,54,(B),-4.65625,-0.0286865234375,-4.6275634765625,4.6275634765625
14B,25,0.0,55,(A),-17.875,-26.875,9.0,9.0
14B,25,0.0,56,(B),-14.5625,-13.1875,-1.375,1.375
14B,25,0.0,57,(A),-0.031494140625,-7.90625,7.874755859375,7.874755859375
14B,25,0.0,58,(B),-10.875,-0.9765625,-9.8984375,9.8984375
14B,25,0.0,59,(B),-10.625,-19.0,8.375,-8.375
14B,25,0.0,60,(A),-23.125,-26.625,3.5,3.5
14B,25,0.0,61,(A),-14.875,-23.875,9.0,9.0
14B,25,0.0,62,(A),-10.375,-6.65625,-3.71875,-3.71875
14B,25,0.0,63,(B),-24.25,-22.875,-1.375,1.375
14B,25,0.0,64,(B),-10.375,-7.625,-2.75,2.75
14B,25,0.0,65,(B),-6.4375,-6.0625,-0.375,0.375
14B,25,0.0,66,(A),-7.15625,-4.65625,-2.5,-2.5
14B,25,0.0,67,(B),-2.984375,-0.11279296875,-2.87158203125,2.87158203125
14B,25,0.0,68,(A),-1.9765625,-0.9765625,-1.0,-1.0
14B,25,0.0,69,(B),-3.796875,-9.4375,5.640625,-5.640625
14B,25,0.0,70,(B),-3.046875,-0.048828125,-2.998046875,2.998046875
14B,25,0.0,71,(B),-0.205078125,-6.84375,6.638671875,-6.638671875
14B,25,0.0,72,(A),-4.5,-14.25,9.75,9.75
14B,25,0.0,73,(A),-9.75,-10.0,0.25,0.25
14B,25,0.0,74,(A),-6.53125,-0.0225830078125,-6.5086669921875,-6.5086669921875
14B,25,0.0,75,(B),-7.71875,-4.09375,-3.625,3.625
14B,25,0.0,76,(A),-2.46875,-8.6875,6.21875,6.21875
14B,25,0.0,77,(B),-7.625,-0.01544189453125,-7.60955810546875,7.60955810546875
14B,25,0.0,78,(B),-8.1875,-3.1875,-5.0,5.0
14B,25,0.0,79,(B),-0.000820159912109375,-16.125,16.12417984008789,-16.12417984008789
14B,25,0.0,80,(B),-25.625,-20.625,-5.0,5.0
14B,25,0.0,81,(A),-4.03125,-15.0,10.96875,10.96875
14B,25,0.0,82,(A),-23.25,-23.0,-0.25,-0.25
14B,25,0.0,83,(A),-6.6875,-0.42578125,-6.26171875,-6.26171875
14B,25,0.0,84,(A),-21.75,-26.125,4.375,4.375
14B,25,0.0,85,(A),-12.5,-19.375,6.875,6.875
14B,25,0.0,86,(B),-3.78125,-11.875,8.09375,-8.09375
14B,25,0.0,87,(A),-8.0,-14.875,6.875,6.875
14B,25,0.0,88,(A),-13.625,-15.0,1.375,1.375
14B,25,0.0,89,(A),-11.5,-21.875,10.375,10.375
14B,25,0.0,90,(B),-0.21484375,-10.0625,9.84765625,-9.84765625
14B,25,0.0,91,(B),-7.375,-5.875,-1.5,1.5
14B,25,0.0,92,(B),-0.07958984375,-12.1875,12.10791015625,-12.10791015625
14B,25,0.0,93,(A),-15.5,-14.125,-1.375,-1.375
14B,25,0.0,94,(B),-5.46875,-1.2265625,-4.2421875,4.2421875
14B,25,0.0,95,(A),-7.0,-13.125,6.125,6.125
14B,25,0.0,96,(A),-14.25,-22.875,8.625,8.625
14B,25,0.0,97,(A),-8.25,-0.00112152099609375,-8.248878479003906,-8.248878479003906
14B,25,0.0,98,(A),-7.65625,-0.040283203125,-7.615966796875,-7.615966796875
14B,25,0.0,99,(A),-19.875,-24.0,4.125,4.125
14B,25,1.0,0,(B),-4.03125,-0.043212890625,-3.988037109375,3.988037109375
14B,25,1.0,1,(A),-0.1904296875,-10.6875,10.4970703125,10.4970703125
14B,25,1.0,2,(B),-4.46875,-0.35546875,-4.11328125,4.11328125
14B,25,1.0,3,(A),-0.0208740234375,-12.875,12.8541259765625,12.8541259765625
14B,25,1.0,4,(A),-3.5,-5.0,1.5,1.5
14B,25,1.0,5,(A),-9.625,-17.5,7.875,7.875
14B,25,1.0,6,(B),-22.875,-21.625,-1.25,1.25
14B,25,1.0,7,(B),-4.625,-0.01409912109375,-4.61090087890625,4.61090087890625
14B,25,1.0,8,(A),-0.54296875,-4.53125,3.98828125,3.98828125
14B,25,1.0,9,(B),-4.15625,-4.28125,0.125,-0.125
14B,25,1.0,10,(B),-23.875,-20.125,-3.75,3.75
14B,25,1.0,11,(A),-0.0008087158203125,-14.875,14.874191284179688,14.874191284179688
14B,25,1.0,12,(A),-13.125,-7.5,-5.625,-5.625
14B,25,1.0,13,(A),-20.375,-24.75,4.375,4.375
14B,25,1.0,14,(B),-18.375,-17.125,-1.25,1.25
14B,25,1.0,15,(B),-15.5,-12.875,-2.625,2.625
14B,25,1.0,16,(A),-16.375,-17.25,0.875,0.875
14B,25,1.0,17,(A),-5.5,-11.0,5.5,5.5
14B,25,1.0,18,(A),-8.0,-17.0,9.0,9.0
14B,25,1.0,19,(A),-10.875,-17.375,6.5,6.5
14B,25,1.0,20,(B),-6.5,-0.00372314453125,-6.49627685546875,6.49627685546875
14B,25,1.0,21,(B),-4.84375,-0.341796875,-4.501953125,4.501953125
14B,25,1.0,22,(A),-0.026123046875,-9.5,9.473876953125,9.473876953125
14B,25,1.0,23,(B),-5.78125,-2.296875,-3.484375,3.484375
14B,25,1.0,24,(A),-0.06396484375,-10.9375,10.87353515625,10.87353515625
14B,25,1.0,25,(B),-14.6875,-0.0439453125,-14.6435546875,14.6435546875
14B,25,1.0,26,(A),-6.875,-16.875,10.0,10.0
14B,25,1.0,27,(A),-7.59375,-13.0,5.40625,5.40625
14B,25,1.0,28,(A),-14.0,-20.25,6.25,6.25
14B,25,1.0,29,(A),-18.375,-21.625,3.25,3.25
14B,25,1.0,30,(B),-12.875,-5.96875,-6.90625,6.90625
14B,25,1.0,31,(B),-16.125,-10.625,-5.5,5.5
14B,25,1.0,32,(B),-9.5,-4.75,-4.75,4.75
14B,25,1.0,33,(B),-8.3125,-5.3125,-3.0,3.0
14B,25,1.0,34,(B),-21.125,-15.125,-6.0,6.0
14B,25,1.0,35,(B),-13.625,-4.887580871582031e-05,-13.624951124191284,13.624951124191284
14B,25,1.0,36,(A),-14.3125,-14.8125,0.5,0.5
14B,25,1.0,37,(A),-20.875,-24.5,3.625,3.625
14B,25,1.0,38,(B),-15.625,-11.75,-3.875,3.875
14B,25,1.0,39,(A),-15.375,-22.375,7.0,7.0
14B,25,1.0,40,(B),-2.8125,-4.6875,1.875,-1.875
14B,25,1.0,41,(B),-0.07958984375,-2.578125,2.49853515625,-2.49853515625
14B,25,1.0,42,(A),-8.75,-18.875,10.125,10.125
14B,25,1.0,43,(A),-0.263671875,-5.25,4.986328125,4.986328125
14B,25,1.0,44,(A),-0.10009765625,-12.625,12.52490234375,12.52490234375
14B,25,1.0,45,(B),-17.375,-16.0,-1.375,1.375
14B,25,1.0,46,(A),-16.25,-19.5,3.25,3.25
14B,25,1.0,47,(B),-13.125,-8.625,-4.5,4.5
14B,25,1.0,48,(B),-5.65625,-7.40625,1.75,-1.75
14B,25,1.0,49,(B),-14.375,-13.5,-0.875,0.875
14B,25,1.0,50,(B),-12.9375,-3.046875,-9.890625,9.890625
14B,25,1.0,51,(A),-2.625,-6.25,3.625,3.625
14B,25,1.0,52,(B),-17.125,-10.125,-7.0,7.0
14B,25,1.0,53,(A),-5.5,-10.125,4.625,4.625
14B,25,1.0,54,(B),-7.75,-0.004241943359375,-7.745758056640625,7.745758056640625
14B,25,1.0,55,(A),-18.25,-26.375,8.125,8.125
14B,25,1.0,56,(B),-13.8125,-10.6875,-3.125,3.125
14B,25,1.0,57,(A),-0.0595703125,-7.3125,7.2529296875,7.2529296875
14B,25,1.0,58,(B),-11.1875,-1.3125,-9.875,9.875
14B,25,1.0,59,(B),-13.375,-17.125,3.75,-3.75
14B,25,1.0,60,(A),-23.625,-27.25,3.625,3.625
14B,25,1.0,61,(A),-17.125,-24.5,7.375,7.375
14B,25,1.0,62,(A),-7.90625,-14.4375,6.53125,6.53125
14B,25,1.0,63,(B),-26.5,-22.5,-4.0,4.0
14B,25,1.0,64,(B),-11.0,-8.5,-2.5,2.5
14B,25,1.0,65,(B),-6.96875,-2.484375,-4.484375,4.484375
14B,25,1.0,66,(A),-3.53125,-10.5625,7.03125,7.03125
14B,25,1.0,67,(B),-2.9375,-0.193359375,-2.744140625,2.744140625
14B,25,1.0,68,(A),-0.2294921875,-6.09375,5.8642578125,5.8642578125
14B,25,1.0,69,(B),-5.78125,-6.03125,0.25,-0.25
14B,25,1.0,70,(B),-11.5,-6.0558319091796875e-05,-11.499939441680908,11.499939441680908
14B,25,1.0,71,(B),-4.625,-0.11328125,-4.51171875,4.51171875
14B,25,1.0,72,(A),-5.875,-14.25,8.375,8.375
14B,25,1.0,73,(A),-9.25,-15.125,5.875,5.875
14B,25,1.0,74,(A),-0.28125,-2.53125,2.25,2.25
14B,25,1.0,75,(B),-8.1875,-3.1875,-5.0,5.0
14B,25,1.0,76,(A),-2.03125,-11.125,9.09375,9.09375
14B,25,1.0,77,(B),-7.90625,-0.0189208984375,-7.8873291015625,7.8873291015625
14B,25,1.0,78,(B),-9.25,-2.46875,-6.78125,6.78125
14B,25,1.0,79,(B),-0.25390625,-1.5,1.24609375,-1.24609375
14B,25,1.0,80,(B),-26.125,-19.125,-7.0,7.0
14B,25,1.0,81,(A),-6.25,-16.125,9.875,9.875
14B,25,1.0,82,(A),-23.75,-24.5,0.75,0.75
14B,25,1.0,83,(A),-4.09375,-3.71875,-0.375,-0.375
14B,25,1.0,84,(A),-23.5,-27.375,3.875,3.875
14B,25,1.0,85,(A),-14.125,-19.5,5.375,5.375
14B,25,1.0,86,(B),-8.375,-8.875,0.5,-0.5
14B,25,1.0,87,(A),-7.625,-17.625,10.0,10.0
14B,25,1.0,88,(A),-13.875,-18.25,4.375,4.375
14B,25,1.0,89,(A),-13.75,-22.5,8.75,8.75
14B,25,1.0,90,(B),-1.109375,-3.484375,2.375,-2.375
14B,25,1.0,91,(B),-8.0,-4.75,-3.25,3.25
14B,25,1.0,92,(B),-2.171875,-1.0546875,-1.1171875,1.1171875
14B,25,1.0,93,(A),-15.0625,-19.25,4.1875,4.1875
14B,25,1.0,94,(B),-8.3125,-0.96484375,-7.34765625,7.34765625
14B,25,1.0,95,(A),-7.15625,-15.5625,8.40625,8.40625
14B,25,1.0,96,(A),-15.625,-23.125,7.5,7.5
14B,25,1.0,97,(A),-0.1181640625,-2.375,2.2568359375,2.2568359375
14B,25,1.0,98,(A),-0.45703125,-2.328125,1.87109375,1.87109375
14B,25,1.0,99,(A),-20.875,-26.5,5.625,5.625
14B,21,-1.0,0,(B),-0.000751495361328125,-14.25,14.249248504638672,-14.249248504638672
14B,21,-1.0,1,(A),-3.421875,-0.05078125,-3.37109375,-3.37109375
14B,21,-1.0,2,(B),-0.037353515625,-10.4375,10.400146484375,-10.400146484375
14B,21,-1.0,3,(A),-2.140625,-0.13671875,-2.00390625,-2.00390625
14B,21,-1.0,4,(A),-5.6875,-0.5703125,-5.1171875,-5.1171875
14B,21,-1.0,5,(A),-7.1875,-1.8046875,-5.3828125,-5.3828125
14B,21,-1.0,6,(B),-12.125,-18.5,6.375,-6.375
14B,21,-1.0,7,(B),-0.00157928466796875,-13.875,13.873420715332031,-13.873420715332031
14B,21,-1.0,8,(A),-3.375,-0.12451171875,-3.25048828125,-3.25048828125
14B,21,-1.0,9,(B),-0.259765625,-10.375,10.115234375,-10.115234375
14B,21,-1.0,10,(B),-13.5,-19.5,6.0,-6.0
14B,21,-1.0,11,(A),-0.185546875,-2.4375,2.251953125,2.251953125
14B,21,-1.0,12,(A),-11.625,-0.7265625,-10.8984375,-10.8984375
14B,21,-1.0,13,(A),-14.75,-17.25,2.5,2.5
14B,21,-1.0,14,(B),-6.5,-15.375,8.875,-8.875
14B,21,-1.0,15,(B),-6.90625,-12.125,5.21875,-5.21875
14B,21,-1.0,16,(A),-10.375,-8.75,-1.625,-1.625
14B,21,-1.0,17,(A),-5.6875,-0.064453125,-5.623046875,-5.623046875
14B,21,-1.0,18,(A),-3.78125,-12.5,8.71875,8.71875
14B,21,-1.0,19,(A),-6.125,-6.5,0.375,0.375
14B,21,-1.0,20,(B),-0.0028228759765625,-10.125,10.122177124023438,-10.122177124023438
14B,21,-1.0,21,(B),-0.154296875,-3.40625,3.251953125,-3.251953125
14B,21,-1.0,22,(A),-4.8125,-0.057373046875,-4.755126953125,-4.755126953125
14B,21,-1.0,23,(B),-0.328125,-9.9375,9.609375,-9.609375
14B,21,-1.0,24,(A),-1.3125,-0.56640625,-0.74609375,-0.74609375
14B,21,-1.0,25,(B),-4.625,-2.859375,-1.765625,1.765625
14B,21,-1.0,26,(A),-4.3125,-3.953125,-0.359375,-0.359375
14B,21,-1.0,27,(A),-8.0,-4.78125,-3.21875,-3.21875
14B,21,-1.0,28,(A),-7.0,-11.75,4.75,4.75
14B,21,-1.0,29,(A),-12.875,-15.625,2.75,2.75
14B,21,-1.0,30,(B),-7.34375,-13.75,6.40625,-6.40625
14B,21,-1.0,31,(B),-5.34375,-7.21875,1.875,-1.875
14B,21,-1.0,32,(B),-0.322265625,-11.5625,11.240234375,-11.240234375
14B,21,-1.0,33,(B),-0.01312255859375,-13.125,13.11187744140625,-13.11187744140625
14B,21,-1.0,34,(B),-10.125,-15.5,5.375,-5.375
14B,21,-1.0,35,(B),-1.9140625,-0.1611328125,-1.7529296875,1.7529296875
14B,21,-1.0,36,(A),-9.875,-7.84375,-2.03125,-2.03125
14B,21,-1.0,37,(A),-12.5,-10.25,-2.25,-2.25
14B,21,-1.0,38,(B),-8.5625,-8.3125,-0.25,0.25
14B,21,-1.0,39,(A),-8.625,-14.75,6.125,6.125
14B,21,-1.0,40,(B),-0.1875,-10.3125,10.125,-10.125
14B,21,-1.0,41,(B),-0.001220703125,-15.625,15.623779296875,-15.623779296875
14B,21,-1.0,42,(A),-4.40625,-7.90625,3.5,3.5
14B,21,-1.0,43,(A),-2.296875,-0.291015625,-2.005859375,-2.005859375
14B,21,-1.0,44,(A),-0.4765625,-7.09375,6.6171875,6.6171875
14B,21,-1.0,45,(B),-5.25,-14.25,9.0,-9.0
14B,21,-1.0,46,(A),-11.0,-11.5,0.5,0.5
14B,21,-1.0,47,(B),-2.84375,-9.5,6.65625,-6.65625
14B,21,-1.0,48,(B),-0.2421875,-10.625,10.3828125,-10.3828125
14B,21,-1.0,49,(B),-5.75,-11.0,5.25,-5.25
14B,21,-1.0,50,(B),-2.265625,-5.40625,3.140625,-3.140625
14B,21,-1.0,51,(A),-3.390625,-0.138671875,-3.251953125,-3.251953125
14B,21,-1.0,52,(B),-6.625,-12.875,6.25,-6.25
14B,21,-1.0,53,(A),-6.21875,-2.34375,-3.875,-3.875
14B,21,-1.0,54,(B),-0.020751953125,-6.90625,6.885498046875,-6.885498046875
14B,21,-1.0,55,(A),-9.75,-19.5,9.75,9.75
14B,21,-1.0,56,(B),-9.6875,-14.3125,4.625,-4.625
14B,21,-1.0,57,(A),-2.9375,-0.06494140625,-2.87255859375,-2.87255859375
14B,21,-1.0,58,(B),-5.65625,-0.3984375,-5.2578125,5.2578125
14B,21,-1.0,59,(B),-2.484375,-13.0,10.515625,-10.515625
14B,21,-1.0,60,(A),-18.375,-21.125,2.75,2.75
14B,21,-1.0,61,(A),-11.0,-17.125,6.125,6.125
14B,21,-1.0,62,(A),-5.84375,-2.71875,-3.125,-3.125
14B,21,-1.0,63,(B),-15.0,-19.875,4.875,-4.875
14B,21,-1.0,64,(B),-4.21875,-5.71875,1.5,-1.5
14B,21,-1.0,65,(B),-2.5625,-11.4375,8.875,-8.875
14B,21,-1.0,66,(A),-3.984375,-1.734375,-2.25,-2.25
14B,21,-1.0,67,(B),-0.005584716796875,-9.875,9.869415283203125,-9.869415283203125
14B,21,-1.0,68,(A),-6.25,-0.0146484375,-6.2353515625,-6.2353515625
14B,21,-1.0,69,(B),-0.053955078125,-12.0625,12.008544921875,-12.008544921875
14B,21,-1.0,70,(B),-6.4849853515625e-05,-15.375,15.374935150146484,-15.374935150146484
14B,21,-1.0,71,(B),-0.00592041015625,-13.25,13.24407958984375,-13.24407958984375
14B,21,-1.0,72,(A),-2.59375,-4.46875,1.875,1.875
